Date,Last Price,Volume,SMAVG (15)
2024-01-17,247.25,859005,833235.0
2024-01-16,250.1,883020,830984.0
2024-01-15,250.85,638666,820988.0
2024-01-12,252.5,834050,839749.0
2024-01-11,250.6,882541,847055.0
2024-01-10,253.9,1061341,978154.0
2024-01-09,252.25,892555,1014645.0
2024-01-08,251.45,678793,1050635.0
2024-01-05,251.3,839866,1097709.0
2024-01-04,254.35,1041307,1111977.0
2024-01-03,251.85,1622646,1107043.0
2023-12-29,244.5,552223,1070099.0
2023-12-28,242.45,635126,1110565.0
2023-12-27,243.7,497373,1178016.0
2023-12-22,244.3,580008,1235065.0
2023-12-21,245.0,825247,1261860.0
2023-12-20,243.5,733083,1521725.0
2023-12-19,244.05,920075,1531828.0
2023-12-18,245.2,943634,1546791.0
2023-12-15,244.35,2849031,1548288.0
2023-12-14,245.9,1608713,1403228.0
2023-12-13,252.65,1432398,1340656.0
2023-12-12,253.7,1384904,1300887.0
2023-12-11,254.3,1053891,1256730.0
2023-12-08,253.3,967288,1254496.0
2023-12-07,249.45,1068491,1285479.0
2023-12-06,249.95,1159206,1270118.0
2023-12-05,250.95,1646898,1257219.0
2023-12-04,246.3,1353106,1213518.0
2023-12-01,239.6,981928,1181791.0
2023-11-30,236.05,4723224,1194288.0
2023-11-29,236.4,884638,941850.0
2023-11-28,235.9,1144521,950211.0
2023-11-27,236.9,966078,932730.0
2023-11-24,238.7,673140,921010.0
2023-11-23,238.35,670129,946722.0
2023-11-22,236.6,835857,972563.0
2023-11-21,237.6,722551,1024629.0
2023-11-20,237.15,1020390,1107912.0
2023-11-17,237.6,1432027,1164554.0
2023-11-16,236.85,838077,1143830.0
2023-11-15,238.0,965715,1140805.0
2023-11-14,239.6,991389,1140870.0
2023-11-13,238.75,877204,1140766.0
2023-11-10,236.75,1169377,1141331.0
2023-11-09,238.1,936664,1186857.0
2023-11-08,238.15,1010051,1282180.0
2023-11-07,236.4,882305,1279290.0
2023-11-06,237.15,790280,1316642.0
2023-11-03,237.25,1058811,1341515.0
2023-11-02,238.15,1057744,1349172.0
2023-11-01,237.7,1616847,1338244.0
2023-10-31,233.85,1971794,1302461.0
2023-10-30,241.3,1870028,1244821.0
2023-10-27,237.75,1121156,1199945.0
2023-10-26,237.25,792707,1179085.0
2023-10-25,237.55,966688,1206784.0
2023-10-24,237.2,989837,1229609.0
2023-10-23,237.55,885670,1226869.0
2023-10-20,239.0,1852266,1246844.0
2023-10-19,238.45,2366509,1215550.0
2023-10-18,249.45,966711,1123765.0
2023-10-17,252.5,1442575,1146308.0
2023-10-16,252.15,1163374,1123237.0
2023-10-13,255.05,1173672,1106854.0
2023-10-12,252.7,893821,1088742.0
2023-10-11,254.05,1080099,1110545.0
2023-10-10,252.65,1107206,1091821.0
2023-10-09,250.85,1196879,1065403.0
2023-10-06,248.1,808260,1044113.0
2023-10-05,246.7,1208189,1165317.0
2023-10-04,243.95,1309061,1132893.0
2023-10-03,246.35,948745,1102870.0
2023-10-02,248.05,1185292,1099395.0
2023-09-29,250.45,1382854,1073719.0
2023-09-28,249.7,989738,1050121.0
2023-09-27,252.0,1304850,1065495.0
2023-09-26,249.1,1096510,1036115.0
2023-09-25,249.55,917631,1026708.0
2023-09-22,249.4,901994,1010763.0
2023-09-21,251.05,1220859,984233.0
2023-09-20,256.1,799240,1008643.0
2023-09-19,257.05,710941,1005144.0
2023-09-18,257.95,877532,1016271.0
2023-09-15,261.35,2626314,991105.0
2023-09-14,259.55,721837,856911.0
