Date,Last Price,Volume,SMAVG (15)
2023-11-21,433.1,251641,284792.0
2023-11-20,436.1,198486,288594.0
2023-11-17,437.0,328922,290089.0
2023-11-16,430.2,369483,277213.0
2023-11-15,432.5,339195,262658.0
2023-11-14,435.1,226463,252948.0
2023-11-13,434.4,342386,247799.0
2023-11-10,431.0,353063,235045.0
2023-11-09,432.0,421676,231475.0
2023-11-08,433.6,281646,219070.0
2023-11-07,433.2,160556,218325.0
2023-11-06,435.1,250266,222120.0
2023-11-03,437.3,212970,218201.0
2023-11-02,438.5,272895,216672.0
2023-11-01,436.8,262226,211186.0
2023-10-31,430.6,308674,207445.0
2023-10-30,428.2,220910,203380.0
2023-10-27,424.4,135792,199501.0
2023-10-26,426.8,151146,204066.0
2023-10-25,426.4,193553,208506.0
2023-10-24,420.0,149221,212735.0
2023-10-23,417.0,151075,215747.0
2023-10-20,417.2,299513,224099.0
2023-10-19,425.7,235601,218923.0
2023-10-18,429.4,270479,213483.0
2023-10-17,431.1,217475,208648.0
2023-10-16,427.7,191481,207651.0
2023-10-13,428.1,190045,207622.0
2023-10-12,426.8,190603,208815.0
2023-10-11,427.4,206110,212650.0
2023-10-10,425.5,247698,212496.0
2023-10-09,420.8,162716,211983.0
2023-10-06,418.6,204275,216994.0
2023-10-05,412.0,217740,264646.0
2023-10-04,409.8,256987,268791.0
2023-10-03,411.5,194412,263293.0
2023-10-02,412.9,276357,262398.0
2023-09-29,420.1,221861,256970.0
2023-09-28,421.0,154003,258294.0
2023-09-27,419.3,197956,258083.0
2023-09-26,423.5,202527,255580.0
2023-09-25,423.5,191036,253046.0
2023-09-22,426.9,207951,250094.0
2023-09-21,430.3,248127,245943.0
2023-09-20,429.8,203798,253831.0
2023-09-19,427.3,239999,249132.0
2023-09-18,426.3,237884,242960.0
2023-09-15,425.7,919047,235259.0
2023-09-14,423.8,279927,183825.0
2023-09-13,418.7,174509,177356.0
2023-09-12,417.5,180995,176443.0
2023-09-11,414.6,194932,174864.0
2023-09-08,411.0,241715,173868.0
2023-09-07,413.6,150849,174695.0
2023-09-06,413.5,160403,177793.0
2023-09-05,413.5,164512,178291.0
2023-09-04,412.3,146762,179000.0
2023-09-01,415.5,145692,183263.0
2023-08-31,415.0,366441,193539.0
2023-08-30,412.9,133316,198822.0
2023-08-29,413.2,147411,201578.0
2023-08-28,410.1,122372,203384.0
2023-08-25,407.3,147538,205056.0
2023-08-24,407.1,182899,207559.0
2023-08-23,406.6,160809,208162.0
2023-08-22,405.3,157313,214971.0
2023-08-21,407.3,179994,222496.0
2023-08-18,405.7,254114,220721.0
2023-08-17,407.6,197322,221448.0
2023-08-16,410.9,167876,223713.0
2023-08-15,411.0,175138,221565.0
2023-08-14,414.7,210703,220425.0
2023-08-11,414.4,299841,220664.0
2023-08-10,422.8,445688,218357.0
2023-08-09,420.2,174650,204047.0
2023-08-08,417.1,174497,205719.0
2023-08-07,418.9,147460,207855.0
2023-08-04,416.9,185078,210937.0
2023-08-03,413.4,191942,212768.0
2023-08-02,416.0,262954,215425.0
2023-07-31,420.8,270186,215402.0
2023-07-28,427.1,153371,207095.0
2023-07-27,427.6,265016,216192.0
2023-07-26,424.2,231301,214671.0
2023-07-25,423.2,135657,214528.0
2023-07-24,422.3,158027,213858.0
2023-07-21,424.2,214294,218822.0
2023-07-20,420.0,265241,221825.0
2023-07-19,411.9,231031,214490.0
2023-07-18,408.8,199731,212009.0
2023-07-17,408.3,206532,212480.0
2023-07-14,409.8,193699,213412.0
2023-07-13,409.9,212540,211022.0
2023-07-12,411.4,231799,206412.0
2023-07-11,409.6,262607,205278.0
2023-07-10,410.0,145586,201962.0
2023-07-07,410.5,289821,204131.0
2023-07-06,413.9,242203,222022.0
2023-07-05,420.3,229158,218988.0
2023-07-04,425.0,125603,221921.0
2023-07-03,426.4,232482,226671.0
