Date,Last Price,Volume,SMAVG (15)
2023-12-18,119.75,1136917,1380834.0
2023-12-15,121.9,2890140,1358072.0
2023-12-14,124.25,1980539,1212597.0
2023-12-13,119.35,1821476,1112719.0
2023-12-12,117.65,1253985,1044127.0
2023-12-11,117.45,1375406,1006912.0
2023-12-08,115.75,1518678,1013947.0
2023-12-07,112.85,893895,1013512.0
2023-12-06,113.25,964075,1017927.0
2023-12-05,111.5,839715,1053207.0
2023-12-04,110.5,699420,1140825.0
2023-12-01,109.95,974872,1226920.0
2023-11-30,109.2,1961802,1364770.0
2023-11-29,109.5,1010622,1311190.0
2023-11-28,108.5,1390966,1291520.0
2023-11-27,111.7,795486,1241545.0
2023-11-24,112.1,708018,1263512.0
2023-11-23,113.55,482370,1305805.0
2023-11-22,113.75,792598,1350666.0
2023-11-21,113.05,695759,1364661.0
2023-11-20,113.8,1480925,1432244.0
2023-11-17,112.6,1512155,1384616.0
2023-11-16,109.95,960117,1365476.0
2023-11-15,112.0,1493275,1369800.0
2023-11-14,110.4,2153996,1325047.0
2023-11-13,104.6,1990845,1241307.0
2023-11-10,106.7,3042617,1174542.0
2023-11-09,112.55,1158099,1035480.0
2023-11-08,111.75,715574,1027530.0
2023-11-07,110.8,641341,1042923.0
2023-11-06,111.4,1124987,1114845.0
2023-11-03,112.45,1342409,1127566.0
2023-11-02,109.6,1155285,1117864.0
2023-11-01,106.8,1002532,1108563.0
2023-10-31,106.9,1709501,1187991.0
2023-10-30,104.75,766511,1156397.0
2023-10-27,104.4,1225055,1164853.0
2023-10-26,104.45,1024968,1147041.0
2023-10-25,107.0,821988,1143693.0
2023-10-24,108.0,897887,1153781.0
2023-10-23,105.8,989375,1172967.0
2023-10-20,104.95,956695,1177695.0
2023-10-19,106.05,1038844,1221945.0
2023-10-18,105.1,946461,1246567.0
2023-10-17,105.4,1720183,1294087.0
2023-10-16,106.05,1315793,1283496.0
2023-10-13,105.9,1196883,1273613.0
2023-10-12,108.5,1015769,1260364.0
2023-10-11,109.3,2193956,1267257.0
2023-10-10,113.9,1235588,1185034.0
2023-10-09,109.65,893353,1194035.0
2023-10-06,112.9,957865,1201576.0
2023-10-05,111.65,974759,1382348.0
2023-10-04,110.45,973307,1376395.0
2023-10-03,110.15,1185674,1398107.0
2023-10-02,111.3,1060288,1387673.0
2023-09-29,112.0,1620449,1370446.0
2023-09-28,109.9,1408183,1328598.0
2023-09-27,109.3,1659252,1314224.0
2023-09-26,110.8,1561322,1346326.0
2023-09-25,114.25,1167546,1291493.0
2023-09-22,117.05,998144,1239211.0
2023-09-21,115.2,1119165,1221743.0
2023-09-20,115.55,960614,1238318.0
2023-09-19,117.7,1370605,1218902.0
2023-09-18,119.85,1006473,1181988.0
2023-09-15,121.7,3669441,1145416.0
2023-09-14,118.3,885455,950001.0
2023-09-13,116.35,1298999,947690.0
2023-09-12,116.75,1029157,904016.0
2023-09-11,117.0,801889,882718.0
2023-09-08,117.0,992727,890196.0
2023-09-07,116.05,1192574,931844.0
2023-09-06,117.0,2140781,925687.0
2023-09-05,123.45,738831,829028.0
2023-09-04,125.6,383303,859713.0
2023-09-01,124.6,736135,877864.0
2023-08-31,125.6,1367791,912898.0
2023-08-30,126.45,669363,878771.0
2023-08-29,126.65,816901,875219.0
2023-08-28,124.65,457898,903641.0
2023-08-25,123.0,738215,907731.0
2023-08-24,124.0,850792,898550.0
2023-08-23,123.5,643882,910788.0
2023-08-22,123.2,709686,945245.0
2023-08-21,123.2,914062,948214.0
2023-08-18,122.65,1617445,936473.0
2023-08-17,124.4,1100222,885952.0
2023-08-16,126.25,690896,870054.0
2023-08-15,126.35,1199097,877317.0
2023-08-14,129.45,655572,849953.0
2023-08-11,130.3,1261653,870611.0
2023-08-10,134.1,855886,872832.0
2023-08-09,130.8,616071,929922.0
2023-08-08,130.7,1243241,989139.0
2023-08-07,134.05,519252,1136877.0
2023-08-04,135.25,600495,1162404.0
2023-08-03,134.9,1034367,1175394.0
2023-08-02,135.3,1160724,1148506.0
2023-07-31,140.3,754231,1130377.0
2023-07-28,140.0,737950,1112047.0
2023-07-27,140.3,859622,1107654.0
2023-07-26,136.3,861753,1122643.0
2023-07-25,138.35,799835,1189588.0
2023-07-24,138.2,788638,1178913.0
2023-07-21,139.0,965445,1178112.0
2023-07-20,136.9,1294974,1183188.0
2023-07-19,138.4,1712231,1134019.0
2023-07-18,141.55,1504326,1063620.0
2023-07-17,137.9,3459311,1016024.0
2023-07-14,153.95,902159,826134.0
2023-07-13,152.35,795346,831500.0
2023-07-12,151.3,631044,855221.0
2023-07-11,147.55,888790,852681.0
2023-07-10,144.1,479281,862619.0
2023-07-07,143.8,672049,896449.0
2023-07-06,144.25,1084466,986629.0
2023-07-05,148.9,1865924,1038566.0
2023-07-04,150.3,639712,1000547.0
2023-07-03,150.15,776617,1054050.0
2023-06-30,151.65,1041593,1103624.0
2023-06-29,150.35,557434,1119299.0
2023-06-28,149.45,656245,1145563.0
2023-06-27,149.0,790392,1145391.0
2023-06-26,147.25,610959,1137993.0
2023-06-23,146.15,982643,1149702.0
2023-06-22,148.2,1151162,1146042.0
2023-06-21,145.6,592953,1132684.0
2023-06-20,146.75,1037859,1245184.0
2023-06-19,148.0,986722,1234690.0
2023-06-16,150.45,2024760,1231264.0
2023-06-15,145.95,1863517,1153655.0
2023-06-14,147.05,1295632,1111597.0
2023-06-13,147.95,1442254,1102828.0
2023-06-12,145.05,1520233,1059641.0
2023-06-09,141.9,1276714,1043983.0
2023-06-08,143.0,951397,1001340.0
2023-06-07,143.9,653666,985678.0
2023-06-06,144.2,679418,1000517.0
2023-06-05,144.95,786593,1070789.0
2023-06-02,145.75,927756,1103568.0
2023-06-01,142.5,950782,1083537.0
2023-05-31,144.55,2280452,1081256.0
2023-05-30,150.4,880456,973647.0
2023-05-26,149.7,935331,962374.0
2023-05-25,146.65,860625,955067.0
2023-05-24,144.1,1232638,966130.0
2023-05-23,148.45,1164109,937946.0
2023-05-22,153.85,794451,920732.0
2023-05-19,152.95,1285364,906773.0
2023-05-17,154.85,637067,884181.0
2023-05-16,154.7,716468,877886.0
2023-05-15,155.65,876251,877514.0
2023-05-12,154.7,1733495,877364.0
2023-05-11,149.45,1278267,811915.0
2023-05-10,146.7,627305,768715.0
2023-05-09,148.35,916563,776080.0
2023-05-08,150.6,666315,768082.0
2023-05-05,147.95,711354,804086.0
2023-05-04,148.25,825740,836996.0
2023-05-03,151.25,1026570,832539.0
2023-05-02,147.9,809878,817145.0
2023-04-28,146.95,905887,827461.0
2023-04-27,149.25,585069,811197.0
2023-04-26,147.6,946488,820632.0
2023-04-25,150.4,542645,798067.0
2023-04-24,151.75,710876,834406.0
2023-04-21,150.75,874012,839666.0
2023-04-20,150.35,751757,841270.0
2023-04-19,149.55,630269,831294.0
2023-04-18,148.75,737780,839517.0
2023-04-17,146.3,796596,834162.0
2023-04-14,149.65,1206372,834131.0
2023-04-13,145.0,1205004,803905.0
2023-04-12,138.9,758877,779358.0
2023-04-11,141.65,795665,802594.0
2023-04-06,139.75,964614,987386.0
2023-04-05,143.25,661929,1040609.0
2023-04-04,144.7,726589,1094392.0
2023-04-03,145.45,608025,1115920.0
2023-03-31,145.9,1087718,1171911.0
2023-03-30,144.55,789786,1163816.0
2023-03-29,143.4,898064,1163979.0
2023-03-28,140.0,602120,1167486.0
2023-03-27,141.15,753621,1190673.0
2023-03-24,139.25,657452,1219300.0
2023-03-23,141.85,796134,1212259.0
2023-03-22,140.95,752981,1210070.0
2023-03-21,140.55,836793,1208416.0
2023-03-20,136.6,1107422,1243411.0
2023-03-17,133.4,3567537,1219539.0
2023-03-16,136.5,1762957,1056450.0
2023-03-15,133.35,1468674,992984.0
2023-03-14,140.1,1049516,949167.0
2023-03-13,137.3,1447888,982534.0
2023-03-10,143.5,966297,914312.0
2023-03-09,145.65,792231,912375.0
2023-03-08,146.9,950669,908403.0
2023-03-07,148.35,949916,911781.0
2023-03-06,148.45,1183035,896596.0
2023-03-03,145.2,551834,868133.0
2023-03-02,144.0,763300,882946.0
2023-03-01,142.65,728174,893215.0
2023-02-28,141.75,1361720,908290.0
2023-02-27,142.4,749339,860832.0
2023-02-24,140.75,1121193,859022.0
2023-02-23,144.35,810979,852755.0
2023-02-22,144.2,811415,877181.0
2023-02-21,144.45,1550014,874409.0
2023-02-20,143.65,424563,828456.0
2023-02-17,144.0,937242,862636.0
2023-02-16,146.6,732647,855178.0
2023-02-15,144.65,1001342,878262.0
2023-02-14,142.5,722149,855687.0
2023-02-13,142.3,756084,887162.0
2023-02-10,140.0,774025,878417.0
2023-02-09,142.55,917343,887983.0
2023-02-08,139.85,954290,914021.0
2023-02-07,139.8,649848,964929.0
2023-02-06,140.8,722192,996776.0
2023-02-03,144.2,1027199,1022256.0
2023-02-02,142.2,1177360,1011832.0
2023-02-01,140.55,769839,1000220.0
2023-01-31,140.4,860722,1028953.0
2023-01-30,142.4,937260,1018348.0
2023-01-27,142.4,825370,1016445.0
2023-01-26,140.9,1078910,1012722.0
2023-01-25,139.0,662710,996126.0
2023-01-24,139.35,1194283,1019773.0
2023-01-23,138.85,624909,1024003.0
2023-01-20,136.1,917504,1019191.0
2023-01-19,135.05,1307926,991013.0
2023-01-18,137.9,1717897,965328.0
2023-01-17,137.0,1127553,890495.0
2023-01-16,138.95,1104392,849877.0
2023-01-13,138.1,870848,832517.0
2023-01-12,138.85,1003172,814613.0
2023-01-11,137.3,1200843,816592.0
2023-01-10,134.95,701650,768870.0
2023-01-09,134.75,908713,874548.0
2023-01-06,133.2,769526,900461.0
2023-01-05,130.0,829969,909983.0
2023-01-04,130.35,1017408,928219.0
2023-01-03,127.3,1257728,922760.0
2022-12-30,119.9,552743,896885.0
2022-12-29,121.55,494833,903895.0
2022-12-28,121.4,922642,923330.0
2022-12-27,120.7,595403,911824.0
2022-12-23,116.8,518284,923927.0
2022-12-22,117.9,843998,948750.0
2022-12-21,119.45,602290,957925.0
2022-12-20,116.45,1032848,1045344.0
2022-12-19,118.1,485009,1057674.0
2022-12-16,118.2,2286821,1089077.0
2022-12-15,120.15,1297417,982284.0
2022-12-14,124.55,912349,922615.0
2022-12-13,125.35,1103518,900310.0
2022-12-12,122.8,935518,867698.0
2022-12-09,123.3,869599,848947.0
2022-12-08,123.2,657892,856087.0
2022-12-07,121.55,786365,866438.0
2022-12-06,123.05,750045,876924.0
2022-12-05,121.85,776959,887907.0
2022-12-02,122.75,890625,918705.0
2022-12-01,123.0,981615,1048009.0
2022-11-30,124.05,1913587,1059915.0
2022-11-29,119.95,1217788,974557.0
2022-11-28,117.3,956056,945130.0
2022-11-25,114.8,684920,937891.0
2022-11-24,116.0,402396,990509.0
2022-11-23,115.35,577767,1008728.0
2022-11-22,113.9,614333,1032679.0
