"Date","Price","Open","High","Low","Change %"
"07/02/2024","0.840","0.829","0.845","0.818","1.94%"
"07/01/2024","0.824","0.798","0.824","0.787","2.49%"
"06/28/2024","0.804","0.777","0.804","0.756","0.63%"
"06/27/2024","0.799","0.820","0.820","0.799","-1.60%"
"06/26/2024","0.812","0.812","0.812","0.796","0.62%"
"06/25/2024","0.807","0.849","0.859","0.807","-0.12%"
"06/24/2024","0.808","0.871","0.876","0.808","-1.94%"
"06/21/2024","0.824","0.871","0.871","0.777","-4.85%"
"06/20/2024","0.866","1.065","1.065","0.866","-6.88%"
"06/19/2024","0.930","1.051","1.051","0.925","-1.80%"
"06/18/2024","0.947","0.931","0.947","0.920","1.72%"
"06/17/2024","0.931","0.911","0.931","0.859","2.20%"
"06/14/2024","0.911","0.911","0.911","0.885","-4.91%"
"06/13/2024","0.958","1.005","1.015","0.958","-4.30%"
"06/12/2024","1.001","1.047","1.047","1.001","-6.27%"
"06/11/2024","1.068","1.068","1.068","1.037","-0.09%"
"06/10/2024","1.069","1.048","1.069","1.043","2.00%"
"06/07/2024","1.048","1.033","1.069","1.022","-0.57%"
"06/06/2024","1.054","1.069","1.069","1.043","-1.50%"
"06/05/2024","1.070","1.070","1.070","1.065","0.00%"
"06/04/2024","1.070","1.152","1.152","1.055","-2.37%"
"06/03/2024","1.096","1.111","1.163","1.081","-1.44%"
"05/31/2024","1.112","1.132","1.142","1.101","-1.33%"
"05/30/2024","1.127","1.076","1.137","1.066","4.16%"
"05/29/2024","1.082","1.051","1.092","1.041","0.93%"
"05/28/2024","1.072","1.097","1.097","1.031","-3.16%"
"05/27/2024","1.107","1.067","1.107","1.041","3.75%"
"05/24/2024","1.067","1.082","1.087","1.027","0.00%"
"05/23/2024","1.067","1.027","1.103","0.987","8.00%"
"05/22/2024","0.988","1.043","1.048","0.897","1.54%"
"05/21/2024","0.973","0.998","1.028","0.953","1.04%"
"05/17/2024","0.963","0.948","0.983","0.923","1.48%"
"05/16/2024","0.949","0.899","0.954","0.899","5.44%"
"05/15/2024","0.900","0.985","0.985","0.900","-6.74%"
"05/14/2024","0.965","0.975","0.995","0.896","-5.76%"
"05/13/2024","1.024","1.041","1.041","1.015","-0.10%"
"05/10/2024","1.025","1.016","1.025","0.991","3.33%"
"05/08/2024","0.992","1.009","1.009","0.984","0.40%"
"05/07/2024","0.988","1.021","1.021","0.988","-1.79%"
"05/06/2024","1.006","1.015","1.048","0.998","-0.98%"
"05/03/2024","1.016","1.066","1.066","1.008","-1.65%"
"05/02/2024","1.033","1.050","1.050","1.009","3.71%"
"04/30/2024","0.996","1.004","1.004","0.979","1.63%"
"04/29/2024","0.980","1.021","1.021","0.972","-1.90%"
"04/26/2024","0.999","1.031","1.031","0.991","-0.89%"
"04/25/2024","1.008","0.992","1.016","0.975","2.13%"
"04/24/2024","0.987","1.011","1.011","0.987","-0.10%"
"04/23/2024","0.988","0.988","1.012","0.972","0.71%"
"04/22/2024","0.981","1.013","1.021","0.981","-2.49%"
"04/19/2024","1.006","1.023","1.023","0.982","-0.89%"
"04/18/2024","1.015","1.023","1.023","0.975","2.01%"
"04/17/2024","0.995","1.019","1.027","0.987","-1.68%"
"04/16/2024","1.012","0.988","1.067","0.980","3.16%"
"04/15/2024","0.981","0.973","1.005","0.965","0.72%"
"04/12/2024","0.974","1.006","1.006","0.951","-2.50%"
"04/11/2024","0.999","0.960","1.023","0.960","2.88%"
"04/10/2024","0.971","0.947","1.026","0.932","3.19%"
"04/09/2024","0.941","1.011","1.011","0.941","-1.77%"
"04/08/2024","0.958","0.950","1.012","0.950","0.74%"
"04/05/2024","0.951","1.005","1.005","0.943","-4.80%"
"04/04/2024","0.999","1.061","1.146","0.952","-1.09%"
"04/03/2024","1.010","1.010","1.010","0.986","5.54%"
"04/02/2024","0.957","0.957","0.957","0.957","-0.10%"
"03/28/2024","0.958","0.958","0.958","0.958","-0.10%"
"03/27/2024","0.959","1.028","1.028","0.959","-6.35%"
"03/26/2024","1.024","1.055","1.055","0.971","4.49%"
"03/25/2024","0.980","1.132","1.132","0.972","0.72%"
"03/22/2024","0.973","0.988","0.988","0.966","-1.62%"
"03/21/2024","0.989","1.224","1.239","0.982","-12.32%"
